,identifier,latitude,longitude,date,T2M,RH2M,PRECTOTCORR
288,1002,22.1264826934693,-102.045593462831,2025-01-21,11.89,53.88,0.0
289,1002,22.1264826934693,-102.045593462831,2025-01-22,9.89,49.86,0.0
290,1002,22.1264826934693,-102.045593462831,2025-01-23,12.75,41.2,0.0
291,1002,22.1264826934693,-102.045593462831,2025-01-24,10.0,63.43,0.0
292,1002,22.1264826934693,-102.045593462831,2025-01-25,12.97,53.35,0.0
293,1002,22.1264826934693,-102.045593462831,2025-01-26,14.83,49.8,0.0
294,1002,22.1264826934693,-102.045593462831,2025-01-27,14.91,53.63,0.0
295,1002,22.1264826934693,-102.045593462831,2025-01-28,16.05,56.41,0.0
296,1002,22.1264826934693,-102.045593462831,2025-01-29,15.34,45.32,0.0
297,1002,22.1264826934693,-102.045593462831,2025-01-30,14.2,47.76,0.0
298,1002,22.1264826934693,-102.045593462831,2025-01-31,13.92,47.45,0.0
299,1002,22.1264826934693,-102.045593462831,2025-02-01,13.86,41.54,0.0
300,1002,22.1264826934693,-102.045593462831,2025-02-02,14.82,41.58,0.0
301,1002,22.1264826934693,-102.045593462831,2025-02-03,14.54,52.4,0.0
302,1002,22.1264826934693,-102.045593462831,2025-02-04,14.74,57.57,0.0
303,1002,22.1264826934693,-102.045593462831,2025-02-05,15.65,55.98,0.0
304,1002,22.1264826934693,-102.045593462831,2025-02-06,16.01,40.44,0.0
305,1002,22.1264826934693,-102.045593462831,2025-02-07,16.09,58.75,0.0
306,1002,22.1264826934693,-102.045593462831,2025-02-08,17.02,49.32,0.0
307,1002,22.1264826934693,-102.045593462831,2025-02-09,16.94,34.6,0.0
308,1002,22.1264826934693,-102.045593462831,2025-02-10,16.74,41.21,0.0
309,1002,22.1264826934693,-102.045593462831,2025-02-11,15.82,42.81,0.0
310,1002,22.1264826934693,-102.045593462831,2025-02-12,13.59,49.67,0.0
311,1002,22.1264826934693,-102.045593462831,2025-02-13,14.99,49.86,0.0
312,1002,22.1264826934693,-102.045593462831,2025-02-14,15.38,63.31,0.0
313,1002,22.1264826934693,-102.045593462831,2025-02-15,15.33,39.37,0.0
314,1002,22.1264826934693,-102.045593462831,2025-02-16,14.8,36.09,0.0
315,1002,22.1264826934693,-102.045593462831,2025-02-17,15.24,49.17,0.0
316,1002,22.1264826934693,-102.045593462831,2025-02-18,16.1,40.91,0.0
317,1002,22.1264826934693,-102.045593462831,2025-02-19,16.83,40.14,0.0
318,1002,22.1264826934693,-102.045593462831,2025-02-20,15.72,57.52,0.01
319,1002,22.1264826934693,-102.045593462831,2025-02-21,14.66,46.84,0.16
320,1002,22.1264826934693,-102.045593462831,2025-02-22,16.33,45.13,0.0
321,1002,22.1264826934693,-102.045593462831,2025-02-23,15.58,29.58,0.0
322,1002,22.1264826934693,-102.045593462831,2025-02-24,14.91,18.6,0.0
323,1002,22.1264826934693,-102.045593462831,2025-02-25,16.55,16.14,0.0
324,1002,22.1264826934693,-102.045593462831,2025-02-26,16.58,33.36,0.0
325,1002,22.1264826934693,-102.045593462831,2025-02-27,17.69,32.79,0.0
326,1002,22.1264826934693,-102.045593462831,2025-02-28,17.28,48.47,0.0
327,1002,22.1264826934693,-102.045593462831,2025-03-01,17.82,30.74,0.0
328,1002,22.1264826934693,-102.045593462831,2025-03-02,18.22,28.5,0.0
329,1002,22.1264826934693,-102.045593462831,2025-03-03,17.99,27.77,0.0
330,1002,22.1264826934693,-102.045593462831,2025-03-04,17.15,26.65,0.0
331,1002,22.1264826934693,-102.045593462831,2025-03-05,17.33,23.93,0.0
332,1002,22.1264826934693,-102.045593462831,2025-03-06,15.87,25.55,0.0
333,1002,22.1264826934693,-102.045593462831,2025-03-07,15.96,22.83,0.0
334,1002,22.1264826934693,-102.045593462831,2025-03-08,15.75,30.73,0.0
335,1002,22.1264826934693,-102.045593462831,2025-03-09,15.32,24.46,0.0
336,1002,22.1264826934693,-102.045593462831,2025-03-10,13.21,24.64,0.0
337,1002,22.1264826934693,-102.045593462831,2025-03-11,15.72,16.95,0.0
338,1002,22.1264826934693,-102.045593462831,2025-03-12,16.55,22.56,0.0
339,1002,22.1264826934693,-102.045593462831,2025-03-13,15.71,21.87,0.0
340,1002,22.1264826934693,-102.045593462831,2025-03-14,15.28,25.65,0.0
341,1002,22.1264826934693,-102.045593462831,2025-03-15,14.67,27.13,0.0
342,1002,22.1264826934693,-102.045593462831,2025-03-16,14.81,25.55,0.0
343,1002,22.1264826934693,-102.045593462831,2025-03-17,15.72,33.18,0.0
344,1002,22.1264826934693,-102.045593462831,2025-03-18,17.34,30.36,0.0
