"","CVEGEO","x","y"
"2037","29008",-97.7645672767967,19.3312777452897
"2038","29009",-98.0916280163285,19.349989060628
"2039","29010",-98.131101576739,19.2897632805795
"2040","29011",-98.2334749135729,19.5060916280387
"2041","29012",-98.4368515361547,19.4444579483108
"2042","29013",-97.9364453584363,19.3324358677935
"2043","29014",-98.3422588459534,19.488193112047
"2044","29015",-98.3832991644411,19.3561121538958
"2045","29016",-97.9113558084902,19.2575854093394
"2046","29017",-98.1643259474401,19.1917483748171
"2047","29018",-98.1333858523257,19.319961743796
"2048","29019",-98.3792197174287,19.2819577749638
"2049","29020",-98.4525513777866,19.533044915971
"2050","29021",-98.5540372485693,19.4998275751424
"2051","29022",-98.1705145411391,19.216874441854
"2052","29023",-98.3319617822494,19.2333103693803
"2053","29024",-98.2841550878254,19.3521124776387
"2054","29025",-98.1403692331801,19.1561146542586
"2055","29026",-98.1305659373826,19.3529401303398
"2056","29027",-98.1902981006009,19.1507441796409
"2057","29028",-98.116289431226,19.2228533104353
"2058","29029",-98.2283887501968,19.2471300889189
"2059","29030",-97.9344693755531,19.4839925728965
"2060","29031",-98.076356041086,19.4822442073743
"2061","29032",-98.2874452419116,19.233888805852
"2062","29033",-98.2366976685201,19.3093437343373
"2063","29034",-98.1773012361783,19.6201618952239
"2064","29035",-98.016146633682,19.3888418910525
"2065","29036",-98.2485603122815,19.336135703866
"2066","29037",-97.9267397854032,19.2116832113046
"2067","29038",-98.0852257727082,19.3807195004017
"2068","29039",-98.0291548085235,19.4161717832485
"2069","29040",-98.2395649601954,19.430200633368
"2070","29041",-98.1972294874002,19.1722670967794
"2071","29042",-98.2413383231324,19.1711866044628
"2072","29043",-98.1777481309653,19.401709687263
"2073","29044",-98.2603853511007,19.1938474267754
"2074","29045",-98.4091356341625,19.5951317994828
"2075","29046",-97.9259442444326,19.5638515551768
"2076","29047",-97.9907864451169,19.5332894576181
"2077","29048",-98.1914082283846,19.2780571601048
"2078","29049",-98.2985015228545,19.2861806158651
"2079","29050",-98.084043486311,19.2571155978067
"2080","29051",-98.2641431873712,19.2481477655909
"2081","29052",-98.0493132527781,19.3236128201535
"2082","29053",-98.2538899245029,19.2346762687767
"2083","29054",-98.261048707359,19.2172209106909
"2084","29055",-98.2555579272458,19.4912509010922
"2085","29056",-98.3332226958713,19.2970103190604
"2086","29057",-98.3134474189083,19.2459253713699
"2087","29058",-98.2164148992716,19.1934221074992
"2088","29059",-98.2045913671756,19.2112360676231
"2089","29060",-98.2065786177737,19.2624635530822
"2090","30001",-97.0442349772469,19.5647107570431
"2091","30002",-96.8401768884156,19.6917049885645
"2092","30003",-95.0326054560445,18.0366875727377
"2093","30004",-96.5286419437565,19.5462387540115
"2094","30005",-95.8039568200519,18.5540502690994
"2095","30006",-97.2764243286447,18.7161413535265
"2096","30007",-96.5690201511332,19.0108820933997
"2097","30008",-97.1356805819816,19.0977287810094
"2098","30009",-96.5829551180088,19.7179665837286
"2099","30010",-97.1273840221664,19.7762809820511
"2100","30011",-95.8501582179066,18.7999008719371
"2101","30012",-95.6897131852,18.4329541521264
"2102","30013",-97.6853879091078,21.3131754584581
"2103","30014",-96.876179476707,18.8597422991142
"2104","30015",-95.3923420919841,18.6020043198056
"2105","30016",-96.3090072237508,19.3100376235326
"2106","30017",-96.6700391976203,19.3382376051675
"2107","30018",-97.3242441136744,18.7888901366744
"2108","30019",-97.1003424805519,18.5617557166561
"2109","30020",-97.1079274697583,18.6791130122733
"2110","30021",-96.7965299346789,18.9279205370009
"2111","30022",-97.0778955035595,18.9443224644126
"2112","30023",-97.1157890821578,19.9081191992635
"2113","30024",-96.8248080319526,19.2884834137077
"2114","30025",-97.1830898784523,19.4023909376799
"2115","30026",-96.9429405344008,19.5867868271611
"2116","30027",-98.1786252583637,20.8192333676945
"2117","30028",-96.1210068723561,19.1173999467959
"2118","30029",-97.178282841121,19.1132734523582
"2119","30030",-97.1633937649033,18.7904296574138
"2120","30031",-96.58192074633,18.8166246629242
"2121","30032",-95.0257701488675,18.4347197941237
"2122","30033",-97.2854852727417,20.7144471430031
"2123","30034",-97.7692256703268,21.1873711855579
"2124","30035",-97.888746758224,21.342763266758
"2125","30036",-96.9497945300371,19.6762034562849
"2126","30037",-97.7058010338679,20.2691185938532
"2127","30038",-96.9305182948899,19.4475493543997
"2128","30039",-94.3973531913992,18.1325881583495
"2129","30040",-97.5374252219274,20.4274551078946
"2130","30041",-96.9215202725032,18.7754122649734
"2131","30042",-96.705181643995,19.9335172916961
"2132","30043",-96.6855365975777,19.1391872508385
"2133","30044",-96.9384562779396,18.9323589230332
"2134","30045",-95.9723834824999,18.3020604981148
"2135","30046",-96.9671399769529,19.3314498581999
"2136","30047",-97.0894756830113,19.0533229618897
"2137","30048",-94.5681218510386,18.0162245238981
"2138","30049",-96.3661967832249,18.8626917906152
"2139","30050",-97.550304311494,20.2146253041899
"2140","30051",-97.6656600149313,20.3384052449227
"2141","30052",-96.8209079253995,18.767562688894
"2142","30053",-96.6595016602636,18.7763173446067
"2143","30054",-95.8071318229329,18.2134067414329
"2144","30055",-98.3370054296459,21.1965934976197
"2145","30056",-98.4671634029729,21.253794782819
"2146","30057",-96.7745895228201,19.7544042063484
"2147","30058",-98.0406225607078,21.0032313188618
"2148","30059",-94.7011821269115,18.0598367509772
"2149","30060",-97.6689855168977,21.3764604453002
"2150","30061",-93.957079947129,17.5356916008202
"2151","30062",-97.0395261914962,19.0006072576004
"2152","30063",-97.9783047545077,21.3861393270318
"2153","30064",-97.5850690569207,20.2228077220835
"2154","30065",-96.7313820105783,19.4400019480709
"2155","30066",-97.4968145872633,20.2759277260919
"2156","30067",-97.6990767274409,20.2052795836814
"2157","30068",-96.9900605274995,18.9021419789341
"2158","30069",-97.1095927186942,20.4463702999649
"2159","30070",-94.6212892934715,17.5537266386415
"2160","30071",-96.9397554684273,19.136812360209
"2161","30072",-98.4676348455293,20.517651019963
"2162","30073",-95.1548368609644,18.1971274414303
"2163","30074",-97.1331028397123,18.8173073417
"2164","30075",-95.9635097612956,18.6654371417053
"2165","30076",-98.4265092401763,20.7812777929325
"2166","30077",-95.558422892354,18.0820729309592
"2167","30078",-98.0209882310764,21.2385849251222
"2168","30079",-97.0922559984597,19.3655628943963
"2169","30080",-96.9308230244192,19.0373983421545
"2170","30081",-97.166585450002,18.8898869704832
"2171","30082",-94.3951307664253,17.9860678400253
"2172","30083",-98.0099669785457,20.7230131388966
"2173","30084",-95.8868988117764,18.4738873991688
"2174","30085",-97.0290074911436,18.8505557647485
"2175","30086",-97.2919153028592,19.7646650322658
"2176","30087",-96.8883377262005,19.543857860588
"2177","30088",-96.755790243289,19.3395238845385
"2178","30089",-94.7150625314401,17.8703802952287
"2179","30090",-96.2532343061644,18.9996798899921
"2180","30091",-94.904361331158,17.4184283766396
"2181","30092",-97.0583211179364,19.4478191719195
"2182","30093",-96.9164780665248,19.6111898210042
"2183","30094",-95.3658513904609,17.9814861960589
"2184","30095",-96.6616405339211,19.8189433552074
"2185","30096",-96.8538379880602,19.7440223257039
"2186","30097",-95.5005907822356,18.6565833257519
"2187","30098",-97.0461848501793,18.7672071496337
"2188","30099",-97.2656683298023,18.8365199001162
"2189","30100",-96.3394440943881,19.1048528350404
"2190","30101",-97.1838451252932,18.9329754437301
"2191","30102",-97.0510159516517,20.1335156734398
"2192","30103",-97.6526130943969,20.208008628622
"2193","30104",-94.8159881004504,18.2890578475538
"2194","30105",-96.161897107958,18.9882532646812
"2195","30106",-96.8814463131731,19.7240337519069
"2196","30107",-97.1499073824187,19.7038618208567
"2197","30108",-94.3885853067759,17.711254353754
"2198","30109",-96.8854145672744,19.9625468981809
"2199","30110",-96.9767744687319,18.59166141889
"2200","30111",-94.2857429875436,17.9826661480117
"2201","30112",-96.8409750844729,19.6332757879214
"2202","30113",-96.957058245646,18.7948874024043
"2203","30114",-96.7932526702171,20.1070096255143
"2204","30115",-97.1989941156642,18.8253497570972
"2205","30116",-94.8916548485348,17.9032148349744
"2206","30117",-96.7031850862362,18.7120451078513
"2207","30118",-97.104807743782,18.8558622375384
"2208","30119",-96.0342606660998,18.1674625993693
"2209","30120",-94.6736250061156,17.9887956324304
"2210","30121",-97.8475540469621,21.7212255933549
"2211","30122",-94.6779020206992,18.2033992469274
"2212","30123",-98.25638562307,22.1137697137965
"2213","30124",-97.2863050336211,20.410806636301
"2214","30125",-96.6629989369435,18.9426980326046
"2215","30126",-96.4500702323174,19.2463676503358
"2216","30127",-97.1923388024712,18.9897047414838
"2217","30128",-97.2789019990687,19.5284287872745
"2218","30129",-98.375692001543,21.294775417104
"2219","30130",-95.6451297031369,17.7670116460913
"2220","30131",-97.4384720293763,20.5300461227898
"2221","30132",-97.0947853390754,19.6222817307201
"2222","30133",-97.9248366783382,22.158067612623
"2223","30134",-96.5657401124017,19.3013303655499
"2224","30135",-97.0956036365215,18.8029295381833
"2225","30136",-96.984825942585,19.5995899761424
"2226","30137",-97.0434403564718,18.6739774134955
"2227","30138",-97.150919086413,18.8444986516166
"2228","30139",-95.5213714796577,18.5619675299492
"2229","30140",-97.0930208914839,18.7722597851418
"2230","30141",-95.2222773596342,18.4670759041513
"2231","30142",-95.1620201228796,17.7659422495988
"2232","30143",-95.3998645680672,18.3992984369356
"2233","30144",-94.9458852475971,17.7246629977289
"2234","30145",-94.8346497631863,18.0024879098729
"2235","30146",-96.9223126192971,19.1732068556199
"2236","30147",-97.1862487229127,18.7068904822834
"2237","30148",-96.4531653234206,19.0488972132509
"2238","30149",-94.9007839404336,18.2369380460838
"2239","30150",-97.6377377318644,21.5152762505603
"2240","30151",-97.4965273906745,21.3239009498249
"2241","30152",-97.7780533547563,21.9361026896517
"2242","30153",-97.7789391212874,21.2629700282376
"2243","30154",-97.7559731175428,21.4269697945902
"2244","30155",-98.1712998421561,21.3888797379895
"2245","30156",-97.0841978136724,19.7115627979961
"2246","30157",-97.6690950489668,20.7319322716695
"2247","30158",-97.0252218401933,20.3855455292508
"2248","30159",-97.0524256516128,18.5298730193788
"2249","30160",-97.7102213009814,20.9711151198927
"2250","30161",-98.3816466067336,21.5688571677659
"2251","30162",-96.8409979417052,19.2602976709882
"2252","30163",-96.939209432318,19.8145077239154
"2253","30164",-96.9415647790793,19.3738083344502
"2254","30165",-96.8532081886473,19.0449754660992
"2255","30166",-96.7733069305279,19.668608497503
"2256","30167",-97.8630508382966,21.1486600708064
"2257","30168",-97.0443473098689,18.7368070074788
"2258","30169",-95.7021439454661,18.1140593885803
"2259","30170",-98.3088000681525,20.6242131958903
"2260","30171",-97.0320580766362,18.6189968058909
"2261","30172",-94.7970300503924,17.7854376112269
"2262","30173",-96.776083114405,18.5797036908751
"2263","30174",-96.2863601743974,18.5498530626873
"2264","30175",-97.5302188562146,20.6603724565171
"2265","30176",-95.9464880548042,18.1960544624058
"2266","30177",-97.0046821194016,19.7018538933393
"2267","30178",-95.6229529220688,18.5336597188081
"2268","30179",-96.781285146022,19.1832913761074
"2269","30180",-98.1853610982907,20.6115338367856
"2270","30181",-96.1695470842904,18.7549857408082
"2271","30182",-96.9830358928551,19.541110410658
"2272","30183",-97.1744516870417,20.0235601853924
"2273","30184",-97.1048669899329,18.6094069000956
"2274","30185",-97.0773310728505,18.7943991803894
"2275","30186",-96.996844166486,19.0218545296062
"2276","30187",-96.9214060388414,19.7235245145747
"2277","30188",-96.8970623390038,19.2261926151202
"2278","30189",-97.4117394029749,20.9347420180598
"2279","30190",-95.8801428837673,18.1878965746494
"2280","30191",-96.3877809813021,19.4376247214357
"2281","30192",-96.6342291978353,19.9768202941293
